"chinese","sign"
"拍照","拍照"
"能","能"
"罐頭","罐頭"
"會一點","會一點"
"一筆勾銷","一筆勾銷"
"癌症","癌症"
"蠟燭","蠟燭"
"糖果","糖果"
"炮","炮"
"拮据","拮据"
"想不起來","想不起來"
"忍不住","忍不住"
"不行","不行"
"未遂","未遂"
"聽不見","聽不見"
"京","京"
"車","車"
"車禍","車禍"
"車","車"
"閃光信號車","閃光信號車"
"片","片"
"注意","注意"
"不小心","不小心"
"刨木頭","刨木頭"
"木匠","木匠"
"毛毯","毛毯"
"帶","帶"
"提燈","提燈"
"提","提"
"挑","挑"
"雕刻","雕刻"
"貓","貓"
"抓","抓"
"感冒","感冒"
"剁","剁"
"分類","分類"
"天主教","天主教"
"山洞","山洞"
"天花板","天花板"
"慶祝","慶祝"
"細胞","細胞"
"央","央"
"椅子","椅子"
"主席","主席"
"粉筆","粉筆"
"張","張"
"改","改"
"變成","變成"
"位置交換","位置交換"
"彰化","彰化(地名)"
"表格","表格"
"追","追"
"聊天","聊天"
"口沫橫飛","口沫橫飛"
"便宜","便宜"
"作弊","作弊"
"厚臉皮","厚臉皮"
"化學","化學"
"陳","陳(姓)"
"鄭","鄭(姓)"
"櫻桃","櫻桃"
"栗子","栗子"
"嘉義","嘉義(地名)"
"雞","雞"
"主任","主任"
"小孩","小孩"
"幼稚","幼稚"
"字","字"
"象棋","象棋"
"油條","油條"
"春節","春節"
"水餃","水餃"
"清朝","清朝"
"邱(姓)","邱(姓)"
"挑選","挑選"
"砍樹","砍樹"
"筷子","筷子"
"周","周(姓)"
"基督教","基督教"
"聖誕節","聖誕節"
"菊花","菊花"
"川","川"
"教堂","教堂"
"蟬","蟬"
"抽煙","抽煙"
"市","市"
"城","城"
"文明","文明"
"索賠","索賠"
"蚌","蚌"
"班","班"
"同學","同學"
"乾淨","乾淨"
"清楚","清楚"
"牧師","牧師"
"關門","關門"
"闔眼","闔眼"
"布","布"
"衣服","衣服"
"衣架","衣架"
"雲","雲"
"陰天","陰天"
"小丑","小丑"
"蟑螂","蟑螂"
"咖啡","咖啡"
"冬","冬"
"塌陷","塌陷"
"收集","收集"
"大學","大學"
"顏色","顏色"
"式","式"
"來","來"
"舒服","舒服"
"司空見慣","司空見慣"
"命令","命令"
"紀念","紀念"
"會員","會員"
"委員","委員"
"品","品"
"司空見慣","司空見慣"
"交際","交際"
"通學","通學"
"公司","公司"
"比較","比較"
"賠錢","賠錢"
"比賽","比賽"
"複雜","複雜"
"作文","作文"
"電腦","電腦"
"關心","關心"
"衝突","衝突"
"祝","祝"
"守舊","守舊"
"保守","保守"
"一致","一致"
"團結","團結"
"束縛","束縛"
"建設","建設"
"聯絡","聯絡"
"散播","散播"
"簽約","簽約"
"反覆","反覆"
"控制","控制"
"筆談","筆談"
"餅乾","餅乾"
"抄","抄"
"玉米","玉米"
"正確","正確"
"走廊","走廊"
"貪污","貪污"
"美容","美容"
"棉花","棉花"
"咳嗽","咳嗽"
"國","國"
"鄉","鄉"
"縣","縣"
"課","課"
"契約","契約"
"貪心","貪心"
"牛","牛"
"螃蟹","螃蟹"
"鶴","鶴"
"發狂","發狂"
"刑警","刑警"
"批評","批評"
"穿越","穿越"
"烏鴉","烏鴉"
"湧入","湧入"
"擁擠","擁擠"
"殘忍","殘忍"
"哭","哭"
"栽培","栽培"
"文化","文化"
"杯子","杯子"
"醫治","醫治"
"好奇","好奇"
"風俗","風俗"
"切","切"
"缺席","缺席"
"逃學","逃學"
"插隊","插隊"
"一人一半","一人一半"
"降價","降價"
"烏賊","烏賊"
"跳舞","跳舞"
"當","當"
"不敢吃","不敢吃"
"女兒","女兒"
"日","日"
"後天","後天"
"前天","前天"
"日","日"
"的","的"
"聾","聾"
"辯論","辯論"
"蛀牙","蛀牙"
"上當","上當"
"越來越少","越來越少"
"深","深"
"炸","炸"
"鹿","鹿"
"一定","一定"
"水準","水準"
"好吃","好吃"
"送","送"
"丹麥","丹麥"
"出軌","出軌"
"眾叛親離","眾叛親離"
"設計","設計"
"輕視","輕視"
"仔細","仔細"
"彎路","彎路"
"字典","字典"
"沒有說什麼","沒有說什麼"
"死","死"
"相差","相差"
"不一樣","不一樣"
"困難","困難"
"消化","消化"
"用功","用功"
"一毛錢","一毛錢"
"導演","導演"
"髒","髒"
"不見蹤跡(指人)","不見蹤跡(指人)"
"失望","失望"
"公開","公開"
"灰心","灰心"
"膩","膩"
"看到","看到"
"發現","發現"
"討論","討論"
"討厭","討厭"
"盤子","盤子"
"消毒","消毒"
"解散","解散"
"下課","下課"
"展示","展示"
"分發","分發"
"區","區"
"跳水","跳水"
"平均","平均"
"離婚","離婚"
"頭暈","頭暈"
"工作","工作"
"沒關係","沒關係"
"犬","犬"
"海豚","海豚"
"募捐","募捐"
"一竅不通","一竅不通"
"不知道","不知道"
"不喜歡","不喜歡"
"不要","不要"
"不管","不管"
"門","門"
"加倍","加倍"
"雙層巴士","雙層巴士"
"下","下"
"端午節","端午節"
"龍","龍"
"蜻蜓","蜻蜓"
"劇","劇"
"抽","抽"
"抽屜","抽屜"
"做夢","做夢"
"扮","扮"
"喝","喝"
"開車","開車"
"汽車駕照","汽車駕照"
"饞嘴","饞嘴"
"退學","退學"
"吸毒","吸毒"
"鼓","鼓"
"乾","乾"
"鴨子","鴨子"
"乏味","乏味"
"渴望","渴望"
"鷹","鷹"
"耳朵","耳朵"
"耳罩","耳罩"
"以…為生","以…為生"
"賺錢","賺錢"
"耳塞","耳塞"
"耳環","耳環"
"地球","地球"
"容易","容易"
"擅長","擅長"
"東","東"
"容易","容易"
"吃","吃"
"吃飯","吃飯"
"經濟","經濟"
"經濟部","經濟部"
"效果","效果"
"用功","用功"
"蛋","蛋"
"卵","卵"
"蛋","蛋"
"自大","自大"
"埃及","埃及"
"八","八"
"八十","八十"
"電","電"
"國小","國小"
"大象","大象"
"電梯","電梯"
"能言善道","能言善道"
"不好意思","不好意思"
"尷尬","尷尬"
"抱","抱"
"刺繡","刺繡"
"皇帝","皇帝"
"空","空"
"勉勵","勉勵"
"終了","終了"
"敵人","敵人"
"報仇","報仇"
"訂婚","訂婚"
"引擎","引擎"
"工程師","工程師"
"英國","英國"
"英文","英文"
"享受","享受"
"足夠","足夠"
"進入","進入"
"業","業"
"招待","招待"
"四周","四周"
"羨慕","羨慕"
"自動扶梯","自動扶梯"
"逃","逃"
"成立","成立"
"禮貌","禮貌"
"歐","歐"
"評價","評價"
"不分勝負","不分勝負"
"更","更"
"夜晚","夜晚"
"各","各"
"每天","每天"
"明察秋毫","明察秋毫"
"超過","超過"
"棒","棒"
"太過分","太過分"
"上下對調","上下對調"
"換","換"
"大便","大便"
"出","出"
"擴大","擴大"
"貴","貴"
"經驗","經驗"
"內行","內行"
"解釋","解釋"
"剝削","剝削"
"運出","運出"
"表","表"
"拔牙","拔牙"
"外遇","外遇"
"眼睛","眼睛"
"眉","眉"
"無中生有","無中生有"
"面孔","面孔"
"工廠","工廠"
"不及格","不及格"
"失敗","失敗"
"失約","失約"
"忠","忠"
"落伍","落伍"
"跌倒","跌倒"
"一見鍾情","一見鍾情"
"上學期","上學期"
"一年級上學期","一年級上學期"
"假","假"
"家庭","家庭"
"有名","有名"
"電風扇","電風扇"
"方","方"
"遠視","遠視"
"農夫","農夫"
"放屁","放屁"
"著迷","著迷"
"火速","火速"
"眼光高","眼光高"
"脂肪","脂肪"
"肥肉","肥肉"
"緣分","緣分"
"父親","父親"
"伯父","伯父"
"姑姑","姑姑"
"叔叔","叔叔"
"傳真","傳真"
"養","養"
"覺得","覺得"
"思念","思念"
"女生","女生"
"大女人主義","大女人主義"
"女性團體","女性團體"
"豐原","豐原"
"摩天輪","摩天輪"
"發燒","發燒"
"一點","一點"
"田","田"
"兇","兇"
"五十","五十"
"五毛錢","五毛錢"
"打架","打架"
"會計","會計"
"想出來","想出來"
"拍攝","拍攝"
"軟片","軟片"
"處罰","處罰"
"完了","完了"
"火","火"
"開除","開除"
"去掉","去掉"
"螢火蟲","螢火蟲"
"第一個","第一個"
"小一","小一"
"初級","初級"
"第一名","第一名"
"初次","初次"
"魚","魚"
"釣魚","釣魚"
"五","五"
"旗子","旗子"
"炎","炎"
"手電筒","手電筒"
"乏味","乏味"
"沒味道","沒味道"
"熨斗","熨斗"
"拍馬屁","拍馬屁"
"安慰","安慰"
"誇耀","誇耀"
"花","花"
"日光燈","日光燈"
"飛","飛"
"蒼蠅","蒼蠅"
"泡沫","泡沫"
"埋首","埋首"
"霧","霧"
"追隨","追隨"
"腳","腳"
"因為","因為"
"外國","外國"
"森林","森林"
"忘","忘"
"式","式"
"正式","正式"
"好險","好險"
"四十","四十"
"找到","找到"
"四","四"
"丁","丁(姓)"
"狐狸","狐狸"
"香","香"
"法國","法國"
"坦白","坦白"
"免費","免費"
"公路局","公路局"
"大一","大一"
"星期五","星期五"
"朋友","朋友"
"青蛙","青蛙"
"水果","水果"
"滿","滿"
"飽","飽"
"幽默","幽默"
"以後","以後"
"風流","風流"
"干","干"
"黑社會","黑社會"
"車庫","車庫"
"大蒜","大蒜"
"瓦斯","瓦斯"
"加油站","加油站"
"湊在一起","湊在一起"
"口罩","口罩"
"注視","注視"
"壁虎","壁虎"
"地理","地理"
"德國","德國"
"算帳","算帳"
"薑","薑"
"長頸鹿","長頸鹿"
"給","給"
"拋棄","拋棄"
"玻璃","玻璃"
"眼鏡","眼鏡"
"山谷","山谷"
"光榮","光榮"
"手套","手套"
"去","去"
"回","回"
"變聾","變聾"
"回家","回家"
"下台","下台"
"下班","下班"
"上台","上台"
"罷工","罷工"
"目的","目的"
"山羊","山羊"
"神","神"
"戒指","戒指"
"好","好"
"再見","再見"
"福利","福利"
"幸福","幸福"
"搞錯","搞錯"
"誤會","誤會"
"鵝","鵝"
"治","治"
"政府","政府"
"官","官"
"公務員","公務員"
"成績","成績"
"畢業","畢業"
"小學畢業","小學畢業"
"國中畢業","國中畢業"
"五穀","五穀"
"孫女","孫女"
"祖父","祖父"
"奶奶","奶奶"
"葡萄","葡萄"
"草","草"
"有名","有名"
"偉大","偉大"
"希臘","希臘"
"綠","綠"
"蔥","蔥"
"憂傷","憂傷"
"長大","長大"
"等","等"
"守衛","守衛"
"芭樂","芭樂"
"猜","猜"
"射擊","射擊"
"習慣","習慣"
"髮","髮"
"毛","毛"
"理髮","理髮"
"半","半"
"半天課","半天課"
"半價","半價"
"堂","堂"
"漢堡","漢堡"
"槌子","槌子"
"手","手"
"殘障","殘障"
"手帕","手帕"
"英俊","英俊"
"掛","掛"
"上吊","上吊"
"出事","出事"
"快樂","快樂"
"港","港"
"堅固","堅固"
"害我","害我"
"帽子","帽子"
"有","有"
"吃飯","吃飯"
"有沒有","有沒有"
"沒有","沒有"
"夏威夷","夏威夷"
"他","他"
"頭","頭"
"會長","會長"
"市長","市長"
"班長","班長"
"家長","家長"
"校長","校長"
"院長","院長"
"健康","健康"
"臉色紅潤","臉色紅潤"
"聽","聽"
"聽人","聽人"
"心","心"
"重","重"
"幫","幫"
"躲","躲"
"高血壓","高血壓"
"文雅","文雅"
"高跟鞋","高跟鞋"
"跳高","跳高"
"高速公路","高速公路"
"屬於他","屬於他"
"史","史"
"打","打"
"何(姓)","何(姓)"
"吊車","吊車"
"房子","房子"
"作業","作業"
"香港","香港"
"有面子","有面子"
"流氓","流氓"
"希望","希望"
"單槓","單槓"
"馬","馬"
"醫院","醫院"
"汗","汗"
"火鍋","火鍋"
"燙","燙"
"屋子","屋子"
"家","家"
"戶","戶"
"如何","如何"
"好不好","好不好"
"如何","如何"
"怎麼會","怎麼會"
"多遠?","多遠?"
"多長?","多長?"
"多少","多少"
"幾小時","幾小時"
"幾個月","幾個月"
"幾次","幾次"
"多重?","多重?"
"年紀","年紀"
"許","許(姓)"
"化","化"
"花蓮","花蓮"
"謙虛","謙虛"
"百","百"
"億","億"
"百分之一","百分之一"
"飢餓","飢餓"
"趕路","趕路"
"丈夫","丈夫"
"夫婦","夫婦"
"衛生","衛生"
"我","我"
"冰淇淋","冰淇淋"
"滑冰","滑冰"
"一模一樣","一模一樣"
"身分證","身分證"
"呆","呆"
"閒閒沒事","閒閒沒事"
"在家閒晃","在家閒晃"
"如果","如果"
"目中無人","目中無人"
"視若無睹","視若無睹"
"宜蘭","宜蘭"
"違法","違法"
"文盲","文盲"
"模仿","模仿"
"不久","不久"
"運入","運入"
"不可能","不可能"
"內","內"
"勾結","勾結"
"直排輪","直排輪"
"順便","順便"
"前面","前面"
"白費","白費"
"偏","偏"
"包括","包括"
"不一致","不一致"
"不對","不對"
"越來越多","越來越多"
"也許","也許"
"獨立","獨立"
"印度","印度"
"印第安人","印第安人"
"個","個"
"印尼","印尼"
"莫名其妙","莫名其妙"
"傳染病","傳染病"
"打針","打針"
"受傷","受傷"
"打針","打針"
"分期付款","分期付款"
"唆使","唆使"
"侮辱","侮辱"
"保險","保險"
"腦筋好","腦筋好"
"干涉","干涉"
"腸子","腸子"
"點滴","點滴"
"介紹","介紹"
"反省","反省"
"拜託","拜託"
"創作","創作"
"投資","投資"
"調查","調查"
"請客","請客"
"鐵","鐵"
"島","島"
"以色列","以色列"
"義大利","義大利"
"都是我不好","都是我不好"
"玉","玉"
"監獄","監獄"
"果醬","果醬"
"一月","一月"
"日本","日本"
"嫉妒","嫉妒"
"恨","恨"
"局","局"
"加入","加入"
"法官","法官"
"評審","評審"
"柔道","柔道"
"跳","跳"
"國中","國中"
"正","正"
"剛剛","剛剛"
"袋鼠","袋鼠"
"高雄","高雄(地名)"
"基隆","基隆(地名)"
"保持距離","保持距離"
"蕃茄醬","蕃茄醬"
"鑰匙","鑰匙"
"腎","腎"
"殺","殺"
"慈祥","慈祥"
"好心","好心"
"幼稚園","幼稚園"
"善良","善良"
"金剛","金剛"
"吻","吻"
"廚房","廚房"
"風箏","風箏"
"跪","跪"
"刀子","刀子"
"打毛線","打毛線"
"認識","認識"
"知道","知道"
"知識","知識"
"見識","見識"
"韓國","韓國"
"孔 (姓)","孔 (姓)"
"郭 (姓)","郭 (姓)"
"工","工"
"缺","缺"
"池","池"
"土","土"
"巷","巷"
"語言","語言"
"蘭嶼","蘭嶼"
"大量","大量"
"姓","姓"
"上個星期","上個星期"
"一年以前","一年以前"
"遲到","遲到"
"元宵節","元宵節"
"笑","笑"
"尺","尺"
"圍毆","圍毆"
"懶惰","懶惰"
"領導","領導"
"領袖","領袖"
"葉子","葉子"
"打小報告","打小報告"
"依靠","依靠"
"走了","走了"
"左","左"
"腿","腿"
"檸檬","檸檬"
"第一課","第一課"
"算了","算了"
"信","信"
"李","李(姓)"
"圖書館","圖書館"
"躺","躺"
"趴著","趴著"
"輕","輕"
"電燈","電燈"
"淡","淡"
"喜歡","喜歡"
"限制","限制"
"林","林"
"獅子","獅子"
"酒","酒"
"小","小"
"小指","小指"
"住","住"
"活潑","活潑"
"肝","肝"
"色","色"
"鎖","鎖"
"經度","經度"
"無聊","無聊"
"久","久"
"跳遠","跳遠"
"長袖","長袖"
"看不起","看不起"
"找","找"
"看","看"
"鬆","鬆"
"搜括","搜括"
"枇杷","枇杷"
"失","失"
"不好","不好"
"愛","愛"
"戀愛","戀愛"
"降旗","降旗"
"呂","呂 (姓)"
"運氣","運氣"
"運氣好","運氣好"
"行李","行李"
"倫","倫"
"肺臟","肺臟"
"羅","羅"
"色慾","色慾"
"好色","好色"
"嗎","嗎"
"機器","機器"
"雜誌","雜誌"
"大方","大方"
"打麻將","打麻將"
"寄信","寄信"
"主","主"
"中國大陸","中國大陸"
"抽絲剝繭","抽絲剝繭"
"加油","加油"
"化妝","化妝"
"馬來西亞","馬來西亞"
"大男人主義","大男人主義"
"男性團體","男性團體"
"先生","先生"
"男同性戀","男同性戀"
"管理","管理"
"芒果","芒果"
"姿態","姿態"
"饅頭","饅頭"
"多","多"
"多次","多次"
"屢次","屢次"
"毛","毛"
"批改","批改"
"結婚","結婚"
"入贅","入贅"
"嫁","嫁"
"娶","娶"
"亂","亂"
"亂七八糟","亂七八糟"
"按摩","按摩"
"師傅","師傅"
"碩士","碩士"
"火柴","火柴"
"原料","原料"
"數學","數學"
"可以","可以"
"不可以","不可以"
"不可","不可"
"沙拉醬","沙拉醬"
"意思","意思"
"麻疹","麻疹"
"稱","稱"
"肉","肉"
"醫","醫"
"口罩","口罩"
"藥","藥"
"見面","見面"
"碰壁","碰壁"
"開會","開會"
"散會","散會"
"瓜","瓜"
"員","員"
"孟","孟"
"月經","月經"
"苗栗","苗栗"
"麥克風","麥克風"
"中秋節","中秋節"
"中","中"
"中美洲","中美洲"
"中","中"
"里","里"
"服兵役","服兵役"
"陸軍","陸軍"
"奶","奶"
"鏡子","鏡子"
"頑皮","頑皮"
"小氣","小氣"
"恐怕","恐怕"
"錯","錯"
"虐待","虐待"
"搞錯了(指自己搞錯了)","搞錯了(指自己搞錯了)"
"混合","混合"
"混亂","混亂"
"星期一","星期一"
"金錢","金錢"
"存錢","存錢"
"和尚","和尚"
"猴子","猴子"
"鬼","鬼"
"每個月","每個月"
"月","月"
"清晨","清晨"
"早上","早上"
"典當","典當"
"蚊子","蚊子"
"母親","母親"
"舅舅","舅舅"
"阿姨","阿姨"
"摩托車","摩托車"
"機車駕照","機車駕照"
"機車行照","機車行照"
"山","山"
"爬山","爬山"
"山峰","山峰"
"山坡","山坡"
"灰","灰"
"口","口"
"活動","活動"
"電影","電影"
"感動","感動"
"搬家","搬家"
"味精","味精"
"菇","菇"
"音樂","音樂"
"芥末","芥末"
"啞","啞"
"乘法","乘法"
"互相","互相"
"屬於我","屬於我"
"不客氣","不客氣"
"名片","名片"
"印章","印章"
"名字","名字"
"手語名字","手語名字"
"狹窄","狹窄"
"民族","民族"
"天然","天然"
"海軍","海軍"
"將來的最近","將來的最近"
"近視","近視"
"脖子","脖子"
"領帶","領帶"
"不用","不用"
"鄰居","鄰居"
"緊張","緊張"
"網","網"
"不曾","不曾"
"很久沒有","很久沒有"
"沒聽過","沒聽過"
"新","新"
"元旦","元旦"
"除夕","除夕"
"紐約","紐約"
"報紙","報紙"
"下一個","下一個"
"下兩星期","下兩星期"
"下個星期","下個星期"
"明年","明年"
"九","九"
"九十","九十"
"挑剔","挑剔"
"不屑","不屑"
"沒有什麼","沒有什麼(看、吃、讀)"
"沒有問題","沒有問題"
"那有這回事","那有這回事"
"沒有辦法","沒有辦法"
"吵鬧","吵鬧"
"都沒有","都沒有"
"不關你的事","不關你的事"
"胡說","胡說"
"廢話","廢話"
"胡說","胡說"
"廢話","廢話"
"麵","麵"
"中午","中午"
"師大","師大"
"北","北"
"北美洲","北美洲"
"北極","北極"
"鼻子","鼻子"
"不","不"
"不錯","不錯"
"不是","不是"
"不在乎","不在乎"
"不連貫","不連貫"
"不敢","不敢"
"不夠","不夠"
"來不及","來不及"
"不給","不給"
"差勁","差勁"
"不介意","不介意"
"不聽","不聽"
"不好吃","不好吃"
"不懂","不懂"
"未","未"
"少囉唆","少囉唆"
"沒有事情","沒有事情"
"今天","今天"
"幾號","幾號"
"尼姑","尼姑"
"護士","護士"
"肥","肥"
"服從","服從"
"歪斜","歪斜"
"猥褻","猥褻"
"障礙","障礙"
"阻礙","阻礙"
"出風頭","出風頭"
"有時","有時"
"佔據","佔據"
"佔領","佔領"
"就是嘛","就是嘛"
"奉獻","奉獻"
"辦公室","辦公室"
"辦公","辦公"
"抵銷","抵銷"
"常常","常常"
"油","油"
"OK","OK"
"舊","舊"
"年老","年老"
"兄","兄"
"姊姊","姊姊"
"有意","有意"
"故意","故意"
"一回","一回"
"少一個","少一個"
"一","一"
"一個半","一個半"
"一點鐘","一點鐘"
"一天","一天"
"一元","一元"
"一個鐘頭","一個鐘頭"
"一小時","一小時"
"一分鐘","一分鐘"
"一個月","一個月"
"一秒鐘","一秒鐘"
"一個星期","一個星期"
"洋蔥","洋蔥"
"只","只"
"只有一個","只有一個"
"才","才"
"開門","開門"
"手術","手術"
"悶","悶"
"或","或"
"口語","口語"
"口腔","口腔"
"橘子","橘子"
"柳丁","柳丁"
"猩猩","猩猩"
"蘭花","蘭花"
"一般","一般"
"組織","組織"
"來源","來源"
"原來","原來"
"大阪","大阪(地名)"
"另外","另外"
"神經病","神經病"
"甲","甲"
"霸道","霸道"
"華僑","華僑"
"超車","超車"
"欠","欠"
"欠債","欠債"
"塔","塔"
"拜拜","拜拜"
"疼","疼"
"油漆","油漆"
"美術","美術"
"臉色蒼白","臉色蒼白"
"玩","玩"
"煎","煎"
"褲子","褲子"
"木瓜","木瓜"
"降落傘","降落傘"
"遊行","遊行"
"巴黎","巴黎"
"公園","公園"
"停車","停車"
"小組","小組"
"參加","參加"
"及格","及格"
"已經","已經"
"消遣","消遣"
"忍受","忍受"
"付帳","付帳"
"桃子","桃子"
"孔雀","孔雀"
"花生","花生"
"削水果","削水果"
"小販","小販"
"偷看","偷看"
"剝皮","剝皮"
"筆","筆"
"鉛筆","鉛筆"
"看穿","看穿"
"澎湖","澎湖"
"們","們"
"胡椒","胡椒"
"辣","辣"
"完美","完美"
"完美無缺","完美無缺"
"期","期"
"段","段"
"人","人"
"義氣","義氣"
"個性","個性"
"博士","博士"
"菲律賓","菲律賓"
"相片","相片"
"影印","影印"
"運動","運動"
"琴","琴"
"欺侮","欺侮"
"扒手","扒手"
"豬","豬"
"堆高機","堆高機"
"枕頭","枕頭"
"松","松"
"鳳梨","鳳梨"
"乒乓球","乒乓球"
"屏東","屏東"
"粉紅色","粉紅色"
"管子","管子"
"投球","投球"
"可憐","可憐"
"可惜","可惜"
"地方","地方"
"約","約"
"計畫","計畫"
"種","種"
"播放帶","播放帶"
"笛子","笛子"
"打牌","打牌"
"撲克牌","撲克牌"
"打麻將","打麻將"
"請","請"
"順眼","順眼"
"插座","插座"
"梅","梅"
"詩","詩"
"針對","針對"
"中毒","中毒"
"警車","警車"
"警察","警察"
"污染","污染"
"開罐","開罐"
"貧窮","貧窮"
"冰","冰"
"陶瓷","陶瓷"
"大頭貼","大頭貼"
"佔為己有","佔為己有"
"郵局","郵局"
"郵差","郵差"
"延期","延期"
"馬鈴薯","馬鈴薯"
"倒","倒"
"倒茶","倒茶"
"練習","練習"
"祈禱","祈禱"
"懷孕","懷孕"
"準備","準備"
"總統","總統"
"威脅","威脅"
"壓","壓"
"預防","預防"
"出版","出版"
"入獄","入獄"
"探測針","探測針"
"問題","問題"
"手續","手續"
"利","利"
"節目","節目"
"進步","進步"
"投影機","投影機"
"發音","發音"
"妓女","妓女"
"保護","保護"
"訓導處","訓導處"
"自大","自大"
"執照","執照"
"公","公"
"公費","公費"
"拉","拉"
"脈搏","脈搏"
"剪票","剪票"
"翁","翁"
"守時","守時"
"刑","刑"
"傀儡","傀儡"
"布袋戲","布袋戲"
"紫","紫"
"推","推"
"放","放"
"上銬","上銬"
"穿衣","穿衣"
"張貼","張貼"
"金字塔","金字塔"
"地震","地震"
"吵","吵"
"吵架","吵架"
"安靜","安靜"
"被子","被子"
"兔子","兔子"
"賽跑","賽跑"
"下雨","下雨"
"虹","虹"
"升旗","升旗"
"抬頭","抬頭"
"範圍","範圍"
"強姦","強姦"
"生的","生的"
"收割","收割"
"回憶","回憶"
"收據","收據"
"收到","收到"
"收信","收信"
"過去的最近","過去的最近"
"紀錄","紀錄"
"招募","招募"
"紅","紅"
"反射","反射"
"冰箱","冰箱"
"防禦","防禦"
"報名","報名"
"註冊","註冊"
"惋惜","惋惜"
